TagID,EnergyArt,Brand_Type,Date,Time,TotalVolumeHLT,EnergyUsedAdjusted
782,CO2,Læsk,2019-05-01 00:00:00,6,1361.8188,571.00
782,CO2,Læsk,2019-05-10 00:00:00,14,533.1744,571.00
782,CO2,Læsk,2019-05-10 00:00:00,15,509.65200000000004,571.00
782,CO2,Læsk,2019-05-11 00:00:00,16,266.5872,571.00
782,CO2,Læsk,2019-05-20 00:00:00,15,814.3776,571.00
782,CO2,Læsk,2019-05-10 00:00:00,9,479.7664,570.00
782,CO2,Læsk,2019-05-11 00:00:00,17,250.90560000000002,570.00
782,CO2,Læsk,2019-05-17 00:00:00,9,541.0152,570.00
782,CO2,Læsk,2019-05-27 00:00:00,1,294.8688,570.00
782,CO2,Læsk,2019-05-01 00:00:00,4,2046.0184,569.00
782,CO2,Læsk,2019-05-16 00:00:00,19,509.65200000000004,569.00
782,CO2,Læsk,2019-05-01 00:00:00,17,1712.292,568.00
782,CO2,Læsk,2019-05-20 00:00:00,22,1003.176,568.00
782,CO2,Læsk,2019-05-06 00:00:00,2,258.7464,567.00
782,CO2,Læsk,2019-05-28 00:00:00,4,723.7848,567.00
782,CO2,Læsk,2019-05-10 00:00:00,17,533.1744,566.00
782,CO2,Læsk,2019-05-22 00:00:00,2,1582.6968,566.00
782,CO2,Læsk,2019-05-20 00:00:00,19,1091.5703999999998,565.00
782,CO2,Læsk,2019-05-23 00:00:00,11,998.2176,565.00
782,CO2,Læsk,2019-05-26 00:00:00,7,290.1096,565.00
782,CO2,Læsk,2019-05-17 00:00:00,2,645.8112,564.00
782,CO2,Læsk,2019-05-17 00:00:00,5,454.7664,564.00
782,CO2,Læsk,2019-05-17 00:00:00,19,556.6967999999999,564.00
782,CO2,Læsk,2019-05-22 00:00:00,12,800.7036,564.00
782,CO2,Læsk,2019-05-27 00:00:00,22,967.9831999999999,564.00
782,CO2,Læsk,2019-05-31 00:00:00,19,572.3784,564.00
782,CO2,Læsk,2019-05-20 00:00:00,6,282.2688,563.00
782,CO2,Læsk,2019-05-21 00:00:00,1,658.3752000000001,561.00
782,CO2,Læsk,2019-05-16 00:00:00,16,1475.1,560.00
782,CO2,Læsk,2019-05-31 00:00:00,18,517.4928,560.00
782,CO2,Læsk,2019-05-05 00:00:00,2,266.5872,559.00
782,CO2,Læsk,2019-05-10 00:00:00,3,996.856,559.00
782,CO2,Læsk,2019-05-12 00:00:00,5,253.44000000000003,559.00
782,CO2,Læsk,2019-05-27 00:00:00,23,1109.5272,559.00
782,CO2,Cider,2019-05-31 00:00:00,8,447.82560000000007,559.00
782,CO2,Læsk,2019-05-11 00:00:00,4,556.6967999999999,557.00
782,CO2,Læsk,2019-05-17 00:00:00,22,533.1744,557.00
782,CO2,Læsk,2019-05-21 00:00:00,2,549.5688,557.00
782,CO2,Læsk,2019-05-11 00:00:00,6,384.1992,556.00
782,CO2,Læsk,2019-05-20 00:00:00,13,582.2280000000001,554.00
782,CO2,Læsk,2019-05-05 00:00:00,14,47.0448,553.00
782,CO2,Læsk,2019-05-13 00:00:00,16,1156.1577,553.00
782,CO2,Læsk,2019-05-10 00:00:00,11,541.0152,552.00
782,CO2,Læsk,2019-05-10 00:00:00,13,509.65200000000004,552.00
782,CO2,Læsk,2019-05-01 00:00:00,16,1366.9271999999999,551.00
782,CO2,Læsk,2019-05-20 00:00:00,10,311.7096,551.00
782,CO2,Læsk,2019-05-20 00:00:00,14,675.4032,551.00
782,CO2,Læsk,2019-05-17 00:00:00,15,517.4928,550.00
782,CO2,Læsk,2019-05-23 00:00:00,8,878.4024000000001,550.00
782,CO2,Læsk,2019-05-17 00:00:00,0,676.7927999999988,549.00
782,CO2,Læsk,2019-05-17 00:00:00,13,509.65200000000004,549.00
782,CO2,Læsk,2019-05-22 00:00:00,0,763.452,549.00
782,CO2,Læsk,2019-05-31 00:00:00,21,541.0152,549.00
782,CO2,Læsk,2019-05-11 00:00:00,2,572.3784,548.00
782,CO2,Læsk,2019-05-21 00:00:00,0,1074.5352,546.00
782,CO2,Læsk,2019-05-05 00:00:00,6,266.5872,545.00
782,CO2,Læsk,2019-05-05 00:00:00,23,290.1096,544.00
782,CO2,Læsk,2019-05-11 00:00:00,8,493.97040000000004,544.00
782,CO2,Læsk,2019-05-12 00:00:00,9,272.44800000000004,544.00
782,CO2,Læsk,2019-05-20 00:00:00,21,995.436,543.00
782,CO2,Læsk,2019-05-21 00:00:00,21,987.6744,543.00
782,CO2,Læsk,2019-05-28 00:00:00,2,946.6343999999999,542.00
782,CO2,Læsk,2019-05-31 00:00:00,22,525.3336,542.00
782,CO2,Læsk,2019-05-31 00:00:00,23,431.244,542.00
782,CO2,Læsk,2019-05-05 00:00:00,20,188.1792,541.00
782,CO2,Læsk,2019-05-11 00:00:00,14,438.5304,540.00
782,CO2,Læsk,2019-05-12 00:00:00,6,215.424,540.00
782,CO2,Læsk,2019-05-20 00:00:00,11,294.10560000000004,540.00
782,CO2,Læsk,2019-05-26 00:00:00,18,133.2936,540.00
